,Model_Name,Manufacturer_ID,Category_ID,Screen_Size,Screen_Type_ID,RAM,CPU_ID,GPU_ID,SSD_Storage,HDD_Storage,Weight,OS_ID,OS_Version_ID,ID
21,Yoga 500-14ISK,14,6,14.0,24,4,25,53,128,0,1.8,3,3,22
22,Spectre X360,7,4,13.3,31,8,84,8,256,0,1.32,3,3,23
23,Inspiron 7570,2,4,15.6,31,8,58,19,128,1000,1.9,3,3,24
24,Inspiron 5568,2,6,15.6,24,4,19,53,0,1000,2.08,3,3,25
25,Pro P2540UA-AB51,19,5,15.6,10,8,2,8,0,1000,2.37,3,3,26
26,IdeaPad Y700-15ISK,14,3,15.6,31,8,81,11,128,1000,3.31,3,3,27
27,Inspiron 5767,2,5,17.3,10,8,84,1,0,1000,2.83,2,1,28
28,Envy 13-AB002nv,7,4,13.3,31,8,84,8,512,0,1.34,3,3,29
29,EliteBook 1040,7,5,14.0,10,8,3,53,256,0,1.43,3,5,30
30,Probook 430,7,5,13.3,10,16,31,12,512,0,1.49,3,3,31
31,GV62M 7RD,17,3,15.6,10,8,43,42,256,0,2.2,3,3,32
32,Omen 15-ce006nv,7,3,17.3,10,12,54,103,0,1000,2.62,3,3,33
33,Inspiron 5770,2,5,17.3,10,16,31,21,256,2000,2.8,3,3,34
34,Inspiron 5567,2,5,15.6,10,16,84,1,0,2000,2.32,3,3,35
35,Latitude 5580,2,5,15.6,16,4,59,8,0,500,1.93,3,3,36
36,Yoga 920-13IKB,14,6,13.9,24,8,31,12,512,0,1.37,3,3,37
37,Thinkpad P51,14,5,15.6,10,8,26,18,256,0,2.67,3,3,38
38,Omen 17-an012dx,7,3,17.3,31,12,54,24,0,1000,3.74,3,3,39
39,Inspiron 5577,2,3,15.6,10,8,43,42,256,0,2.56,3,3,40
40,IdeaPad 110-17ACL,14,5,17.3,1,4,75,52,128,0,2.6,3,3,41
41,Tecra Z40-C-12Z,3,5,14.0,31,8,3,53,256,0,1.47,3,3,42
42,"MacBook 12""",5,4,12.0,40,8,70,7,256,0,0.92,6,4,43
43,Latitude E5570,2,5,15.6,10,8,118,53,256,0,2.09,3,5,44
44,Omen 15-ce007nv,7,3,15.6,31,12,54,42,128,1000,2.62,3,3,45
45,17-ak002nv (A10-9620P/6GB/2TB/Radeon,7,5,17.3,31,6,11,21,0,2000,2.71,3,3,46
46,V330-15IKB (i5-8250U/4GB/256GB/FHD/W10),14,5,15.6,10,4,58,12,256,0,1.8,3,3,47
47,ProBook 450,7,5,15.6,10,4,41,8,0,500,2.04,3,3,48
48,17-ak001nv (A6-9220/4GB/500GB/Radeon,7,5,17.3,10,4,7,21,0,500,2.71,3,3,49
49,Notebook 9,1,6,15.0,23,16,84,59,256,0,1.71,3,3,50
50,IdeaPad 510s-14IKB,14,5,14.0,31,8,84,62,512,0,1.5,1,1,51
51,XPS 13,2,4,13.3,24,8,2,8,128,0,1.29,3,3,52
52,Probook 470,7,5,17.3,10,8,31,61,256,0,2.5,3,3,53
53,GP72VR Leopard,17,3,17.3,10,8,54,103,128,1000,2.7,3,3,54
54,Tecra Z40-C-12X,3,5,14.0,31,4,3,53,128,0,1.47,3,3,55
55,Inspiron 3179,2,6,11.6,9,4,87,47,128,0,1.39,3,3,56
56,Satellite Pro,3,5,15.6,16,8,25,48,0,500,2.2,3,3,57
57,Aspire A517-51G,4,5,17.3,31,8,58,32,256,0,3.0,3,3,58
58,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),14,5,15.6,10,8,58,12,256,0,2.05,3,3,59
59,EliteBook 840,7,5,14.0,10,4,3,53,0,500,1.54,3,3,60
60,Vostro 5471,2,4,14.0,10,8,58,12,256,0,1.7,3,3,61
61,Legion Y520-15IKBN,14,3,15.6,31,8,54,42,128,1000,2.5,3,3,62
62,ProBook 450,7,5,15.6,11,8,31,12,0,1000,2.1,3,3,63
63,Aspire ES1-523,4,5,15.6,16,4,75,52,0,500,2.4,3,3,64
64,Legion Y520-15IKBN,14,3,15.6,31,8,54,43,128,1000,2.5,3,3,65
65,Inspiron 7567,2,3,15.6,10,8,43,42,256,0,2.62,3,3,66
66,Yoga 910-13IKB,14,6,13.9,24,8,84,8,256,0,1.38,3,3,67
67,Satellite Pro,3,5,15.6,31,8,2,8,0,500,2.0,3,3,68
68,Inspiron 5570,2,5,15.6,10,8,31,21,256,0,2.2,3,3,69
69,Vostro 3568,2,5,15.6,16,4,41,8,0,1000,2.18,3,3,70
70,Aspire F5-573G,4,5,15.6,10,8,2,81,256,1000,2.4,3,3,71
71,MateBook X,16,4,13.0,18,8,84,8,512,0,1.05,3,3,72
72,Probook 640,7,5,14.0,10,8,3,53,256,0,1.95,3,5,73
73,G701VO-IH74K (i7-6820HK/32GB/2x,19,3,17.3,31,32,111,56,512,0,3.58,3,3,74
74,Leopard GP72M,17,3,17.3,10,8,54,43,256,0,2.7,3,3,75
75,IdeaPad 720S-13IKB,14,5,13.3,31,8,2,8,256,0,1.1,3,3,76
76,ProBook 650,7,5,14.0,16,4,2,8,0,500,2.31,3,3,77
77,Yoga 730,14,6,13.3,24,8,31,12,512,0,1.19,3,3,78
78,Omen 15-AX205na,7,3,15.6,31,8,54,42,128,1000,2.2,3,3,79
79,ZenBook UX310UQ-GL026T,19,4,13.3,31,8,3,97,512,0,1.45,3,3,80
80,Yoga 900-13ISK,14,6,13.3,15,16,25,53,512,0,1.3,3,3,81
81,Surface Laptop,9,4,13.5,27,4,53,47,128,0,1.252,3,2,82
82,Latitude 5480,2,5,14.0,10,8,88,65,256,0,1.64,3,3,83
83,Portege X30-D-10X,3,5,13.3,10,4,2,8,128,0,1.05,3,3,84
84,Inspiron 3567,2,5,15.6,10,4,45,5,256,0,2.2,3,3,85
85,Latitude 5580,2,5,15.6,10,8,2,8,128,0,1.9,3,3,86
86,ProBook 440,7,5,14.0,10,8,84,65,256,0,1.64,3,3,87
87,Mi Notebook,8,5,15.6,31,16,31,32,256,0,1.95,1,1,88
88,Thinkpad E570,14,5,15.6,10,8,2,8,256,0,2.3,3,3,89
89,Tecra A40-C-1DF,3,5,14.0,10,8,3,53,256,0,1.95,3,3,90
90,IdeaPad 110-15ISK,14,5,15.6,10,4,45,5,0,1000,2.2,1,1,91
91,Inspiron 7567,2,3,15.6,10,16,54,43,256,1000,2.62,3,3,92
92,Rog GL702VM-GC017T,19,3,17.3,10,16,81,103,512,1000,2.73,3,3,93
93,Inspiron 5570,2,5,15.6,10,8,31,21,128,1000,2.36,3,3,94
94,Legion Y520-15IKBN,14,3,15.6,31,8,43,42,256,0,2.4,1,1,95
95,IdeaPad 320-17IKB,14,5,17.3,1,6,2,83,0,1000,2.8,3,3,96
96,EliteBook 1040,7,4,14.0,10,8,55,53,256,0,1.43,3,5,97
97,EliteBook 840,7,4,14.0,10,8,25,53,512,0,1.54,3,3,98
98,FX502VM-DM560T (i7-7700HQ/8GB/1TB,19,3,15.6,10,8,54,69,128,1000,2.24,3,3,99
99,ProBook 430,7,5,13.3,31,4,58,12,128,0,1.49,3,3,100
100,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,19,5,15.6,16,4,18,66,0,1000,1.68,3,3,101
101,Legion Y520-15IKBN,14,3,15.6,31,8,54,20,256,0,2.4,1,1,102
102,Blade Stealth,11,4,12.5,13,16,66,8,512,0,1.29,3,3,103
103,Zenbook Flip,19,4,13.3,23,16,84,8,512,0,1.1,3,3,104
104,Inspiron 7560,2,5,15.6,10,8,84,19,128,1000,2.0,3,3,105
105,TravelMate B,4,5,11.6,16,4,12,16,128,0,1.4,3,3,106
106,EliteBook 840,7,5,14.0,10,4,3,53,256,0,1.54,3,5,107
107,Vostro 5568,2,5,15.6,10,8,2,8,256,0,2.18,3,3,108
108,V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),14,5,15.6,10,4,84,8,0,1000,1.85,3,3,109
109,Tecra A50-C-21G,3,5,15.6,31,16,25,48,512,0,2.4,3,3,110
110,Omen -,7,3,17.3,31,8,90,103,128,1000,3.35,3,3,111
111,ProBook 450,7,5,15.6,16,8,78,65,0,1000,2.04,3,3,112
112,XPS 13,2,4,13.3,10,8,31,12,256,0,1.2,3,3,113
113,B51-80 (i7-6500U/4GB/1008GB/FHD/W7),14,5,15.6,10,4,25,53,250,750,2.32,3,5,114
114,Latitude 3180,2,2,11.6,16,4,61,60,128,0,1.63,3,3,115
115,Tecra A50-C-1ZV,3,5,15.6,16,8,3,53,256,0,2.2,3,3,116
116,IdeaPad 320-15IKB,14,5,15.6,10,8,84,19,0,1000,2.2,1,1,117
117,Yoga 500-15ISK,14,6,15.6,24,4,3,53,256,0,2.1,3,3,118
118,GL62M (i5-7300HQ/8GB/1TB,17,3,15.6,10,8,43,42,128,1000,2.2,3,3,119
119,Ideapad 320-15IKBN,14,5,15.6,10,6,2,8,256,0,2.2,3,3,120
120,Inspiron 3567,2,5,15.6,10,4,113,5,0,1000,2.25,2,1,121
121,250 G6,7,5,15.6,16,4,30,105,0,500,1.86,1,1,122
122,Aspire E5-576G,4,5,15.6,10,8,84,19,0,1000,2.23,3,3,123
123,Latitude 5480,2,4,14.0,10,8,99,8,256,0,1.6,2,1,124
124,ThinkPad 13,14,5,13.3,31,8,2,8,256,0,1.44,3,3,125
125,ThinkPad 13,14,5,13.3,31,8,41,8,256,0,1.4,3,3,126
126,Inspiron 5570,2,5,15.6,10,8,31,21,128,2000,2.2,3,3,127
127,Inspiron 5379,2,6,13.3,23,8,58,12,0,1000,1.55,3,3,128
128,Vostro 5568,2,5,15.6,10,4,2,19,128,1000,2.18,3,3,129
129,Inspiron 7559,2,3,15.6,10,16,81,101,0,1000,2.59,3,3,130
130,Thinkpad X270,14,4,12.5,31,16,84,8,512,0,1.36,3,3,131
131,"MacBook 12""",5,4,12.0,40,8,27,47,512,0,0.92,6,1,132
132,Zenbook UX330UA-AH5Q,19,4,13.3,6,8,2,8,256,0,1.2,3,3,133
133,ENVY -,7,5,13.3,31,8,2,8,256,0,1.34,3,3,134
134,V310-15ISK (i5-7200U/8GB/1TB,14,5,15.6,10,8,2,5,128,1000,1.9,3,3,135
135,ProBook 470,7,5,17.3,10,8,84,65,0,1000,2.63,3,3,136
136,Rog Strix,19,3,17.3,10,8,51,24,256,1000,3.2,3,3,137
137,Latitude 5580,2,5,15.6,10,8,59,8,256,0,1.9,3,3,138
138,MacBook Air,5,4,11.6,16,4,104,84,256,0,1.08,6,4,139
139,Legion Y520-15IKBN,14,3,15.6,31,8,43,42,128,1000,2.4,1,1,140
140,GS63VR 7RF,17,3,15.6,10,16,54,103,256,1000,1.8,3,3,141
141,Inspiron 3567,2,5,15.6,16,4,45,53,0,1000,2.3,3,3,142
142,Inspiron 5570,2,5,15.6,10,16,31,21,256,2000,2.02,2,1,143
143,Aspire 3,4,5,15.6,16,4,18,52,128,0,2.1,3,3,144
144,ZenBook Flip,19,6,13.3,24,8,2,8,256,0,1.27,3,3,145
145,Inspiron 5370,2,4,13.3,31,4,58,21,256,0,1.4,3,3,146
146,Yoga Book,14,6,10.1,33,4,16,105,64,0,0.69,4,1,147
147,Zenbook UX410UA-GV027T,19,5,14.0,10,8,2,8,256,0,2.0,3,3,148
148,IdeaPad 320-15ISK,14,5,15.6,16,4,45,53,128,0,2.2,1,1,149
149,Inspiron 5567,2,5,15.6,23,16,84,1,0,1000,2.3,3,3,150
150,Latitude 5490,2,4,14.0,10,8,58,12,256,0,1.6,3,3,151
151,Stream 14-AX040wm,7,5,14.0,16,4,30,105,32,0,1.44,3,3,152
152,Thinkpad T460,14,5,14.0,10,8,3,53,256,0,1.7,3,3,153
153,Thinkpad T460p,14,5,14.0,10,8,90,53,256,0,1.8,3,3,154
154,Aspire 3,4,5,15.6,16,4,41,8,0,1000,2.4,3,3,155
155,GS73VR 7RF,17,3,17.3,10,16,54,103,256,1000,2.43,3,3,156
156,Chromebook C738T-C2EJ,4,6,11.6,39,4,30,105,32,0,1.25,5,1,157
157,X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,19,5,15.6,16,4,25,80,0,500,2.2,3,3,158
158,Latitude E5270,2,4,12.5,16,4,19,53,0,500,1.5,3,5,159
159,Latitude 7280,2,4,12.5,23,8,2,87,256,0,1.36,3,3,160
160,ThinkPad Yoga,14,6,14.0,24,8,25,53,256,0,1.8,3,3,161
161,Inspiron 5577,2,3,15.6,10,8,54,42,128,1000,2.56,3,3,162
162,Inspiron 3168,2,6,11.6,9,4,12,16,0,500,1.47,3,3,163
163,15-BW091ND (A9-9420/6GB/1TB,7,5,15.6,10,6,108,44,128,1000,2.1,3,3,164
164,N42-20 Chromebook,14,5,14.0,16,4,106,105,16,0,1.5,5,1,165
165,Inspiron 5570,2,5,15.6,10,8,58,21,128,1000,2.2,3,3,166
166,Yoga 500-15ISK,14,6,15.6,24,4,25,53,256,0,1.8,3,3,167
167,XPS 13,2,4,13.3,10,8,2,8,256,0,1.29,3,3,168
168,Satellite Pro,3,5,15.6,16,4,93,53,128,0,2.1,3,3,169
169,Latitude 5580,2,5,15.6,10,8,2,8,256,0,1.9,3,3,170
170,ThinkPad L470,14,5,14.0,16,4,2,8,0,500,2.02,3,3,171
171,VivoBook S15,19,4,15.6,10,8,2,19,256,0,1.7,3,3,172
172,Probook 440,7,5,14.0,10,8,31,65,256,0,1.63,3,3,173
173,EliteBook 850,7,4,15.6,10,8,25,91,256,0,1.84,3,3,174
174,ThinkPad X270,14,4,12.5,31,8,59,8,256,0,1.36,3,3,175
175,Aspire A517-51G,4,5,15.6,31,8,31,32,256,0,3.0,3,3,176
176,MacBook Pro,5,4,15.4,4,16,107,34,256,0,2.04,6,4,177
177,X751SV-TY001T (N3710/4GB/1TB/GeForce,19,5,17.3,1,4,12,102,0,1000,2.8,3,3,178
178,Alienware 15,2,3,15.6,10,16,43,103,128,1000,3.21,3,3,179
179,ProBook 450,7,5,15.6,16,4,2,8,256,0,2.04,3,3,180
180,Inspiron 7570,2,5,15.6,10,8,58,19,256,0,2.0,3,3,181
181,Pavilion 15-BC000nv,7,5,15.6,31,6,81,46,0,1000,2.18,3,3,182
182,Vostro 3568,2,5,15.6,10,8,2,8,256,0,2.18,3,3,183
183,Probook 440,7,5,14.0,10,8,58,12,0,1000,1.63,3,3,184
184,Latitude 5480,2,5,14.0,16,8,2,8,256,0,1.6,3,3,185
185,Inspiron 3552,2,5,15.6,16,2,60,87,0,500,2.2,3,3,186
186,ProBook 640,7,5,14.0,16,4,2,8,0,500,1.95,3,3,187
187,15-bs012nv (i7-7500U/8GB/1TB/Radeon,7,5,15.6,10,8,84,21,0,1000,2.1,3,3,188
188,Inspiron 5770,2,5,17.3,10,8,58,21,128,1000,2.8,3,3,189
189,Latitude 5590,2,4,15.6,10,16,83,12,768,0,1.88,3,3,190
190,X751NV-TY001T (N4200/4GB/1TB/GeForce,19,5,17.3,16,4,61,102,0,1000,2.8,3,3,191
191,ThinkPad T460,14,4,14.0,10,8,55,53,256,0,1.7,3,5,192
192,Inspiron 7577,2,3,15.6,31,16,54,43,128,1000,2.65,3,3,193
193,ROG GL553VE-FY022,19,3,15.6,31,8,54,43,0,1000,2.5,1,1,194
194,Tecra A50-D-11M,3,5,15.6,31,8,2,8,0,500,2.0,3,3,195
195,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),7,5,15.6,10,4,18,52,256,0,1.91,3,3,196
196,Elitebook 820,7,4,12.5,10,8,84,8,256,0,1.26,3,3,197
197,ThinkPad E570,14,5,15.6,16,4,113,53,128,0,2.3,3,3,198
198,Surface Laptop,9,4,13.5,27,4,2,8,128,0,1.252,3,2,199
199,Latitude 3480,2,5,14.0,16,4,45,53,0,500,1.76,3,3,200
200,IdeaPad 500-15ISK,14,5,15.6,10,16,25,55,250,750,2.5,3,3,201
201,Thinkpad E470,14,5,14.0,31,8,84,19,256,0,1.87,3,3,202
202,Inspiron 5570,2,5,15.6,10,8,58,21,256,0,2.2,3,3,203
203,PL60 7RD,17,3,15.6,31,8,84,42,0,1000,2.2,3,3,204
204,Envy x360,7,6,13.3,32,16,84,8,256,0,1.42,3,3,205
205,Inspiron 5578,2,6,15.0,23,4,41,8,0,500,2.08,3,3,206
206,Legion Y520-15IKBN,14,3,15.6,31,16,54,43,256,2000,2.4,3,3,207
207,ZenBook Flip,19,6,13.3,23,8,31,12,1024,0,1.1,3,3,208
208,Latitude 5480,2,5,14.0,10,8,59,8,256,0,1.64,3,3,209
209,ProBook 640,7,5,14.0,16,4,3,53,0,500,1.95,3,3,210
210,GL72M 7REX,17,3,17.3,10,8,54,43,256,1000,2.7,3,3,211
211,Vostro 5568,2,5,15.6,10,8,84,19,256,0,2.18,3,3,212
212,Pavilion 15-AW003nv,7,5,15.6,10,6,76,92,250,750,2.04,3,3,213
213,IdeaPad 310-15IKB,14,4,15.6,10,6,84,80,256,0,1.54,3,3,214
214,ThinkPad 13,14,5,13.3,10,8,2,8,256,0,1.44,3,3,215
215,Yoga Book,14,6,10.1,33,4,16,105,64,0,0.69,3,3,216
216,IdeaPad 320-15AST,14,5,15.6,10,4,7,3,128,0,2.2,3,3,217
217,Inspiron 5570,2,5,15.6,10,4,58,21,256,0,2.2,3,3,218
218,ZenBook UX305CA-UBM1,19,4,13.3,31,8,92,82,512,0,1.2,3,3,219
219,ProBook 650,7,5,15.6,16,4,19,53,0,500,2.31,3,3,220
220,IdeaPad 320-17IKBR,14,5,17.3,1,8,58,32,256,0,2.8,1,1,221
221,Aspire 7,4,3,15.6,10,8,43,42,0,1000,2.4,2,1,222
222,Inspiron 5368,2,5,13.3,23,8,3,53,0,1000,1.62,3,3,223
223,Ideapad 320-15IKBR,14,5,15.6,9,12,31,8,0,1000,2.2,3,3,224
224,15-bs017nv (i7-7500U/8GB/256GB/Radeon,7,5,15.6,10,8,84,21,256,0,1.91,3,3,225
225,XPS 13,2,4,13.3,10,8,98,31,256,0,1.23,3,3,226
226,Latitude E5570,2,5,15.6,10,8,118,53,0,500,2.09,3,3,227
227,Legion Y520-15IKBN,14,3,15.6,31,8,43,42,256,0,2.5,3,3,228
228,Thinkpad T460,14,4,14.0,10,4,3,53,1,0,1.7,3,3,229
229,Rog GL753VD-GC042T,19,3,17.3,10,8,54,42,0,1000,3.0,3,3,230
230,LifeBook A557,18,5,15.6,16,8,2,8,256,0,2.2,3,3,231
231,15-BS078nr (i7-7500U/8GB/1TB/W10),7,5,15.6,16,8,84,8,0,1000,2.05,3,3,232
232,XPS 13,2,4,13.3,31,8,58,12,256,0,1.21,3,3,233
233,ProBook 450,7,5,15.6,31,4,58,8,0,500,2.1,3,3,234
234,ThinkPad 13,14,5,13.3,31,16,84,8,512,0,1.4,3,3,235
235,V310-15IKB (i5-7200U/8GB/1TB,14,5,15.6,10,8,2,68,128,1000,1.9,3,3,236
236,Aspire 7,4,5,15.6,10,8,54,42,0,1000,2.4,2,1,237
237,Probook 430,7,5,13.3,16,4,41,8,0,500,1.49,3,3,238
238,IdeaPad 320-15ABR,14,5,15.6,10,6,17,21,256,0,2.2,3,3,239
239,IdeaPad 520s-14IKB,14,5,14.0,10,4,2,8,256,0,1.7,3,3,240
240,ProBook 640,7,5,14.0,10,8,2,8,256,0,1.95,3,3,241
241,Rog Strix,19,3,17.3,31,16,73,24,256,1000,3.25,3,3,242
242,Tecra A40-C-1KF,3,5,14.0,16,4,3,53,0,500,1.75,3,3,243
243,ProBook 430,7,5,13.3,10,8,58,12,512,0,1.49,3,3,244
244,ProBook 470,7,5,17.3,31,8,58,65,0,1000,2.5,3,3,245
245,ThinkPad E480,14,4,14.0,31,8,31,106,256,0,1.75,3,3,246
246,Swift 3,4,4,14.0,31,8,31,12,256,0,1.6,3,3,247
247,Q304UA-BHI5T11 (i5-7200U/6GB/1TB/FHD/W10),19,6,13.3,23,6,2,8,0,1000,1.5,3,3,248
248,Inspiron 5578,2,6,15.6,24,8,114,8,256,0,2.3,3,3,249
249,Ideapad 700-15ISK,14,5,15.6,31,4,90,81,0,1000,2.3,3,3,250
250,Vostro 3568,2,5,15.6,16,4,2,66,0,1000,2.18,3,3,251
251,Inspiron 7567,2,3,15.6,10,8,43,42,250,750,2.65,3,3,252
252,Inspiron 7559,2,3,15.6,30,16,81,46,128,1000,2.72,3,3,253
253,Yoga 700-11ISK,14,6,11.3,24,8,95,82,256,0,1.1,3,3,254
254,Zbook 17,7,1,17.3,31,16,42,6,256,0,3.0,3,5,255
255,Inspiron 7567,2,3,15.6,10,8,54,54,0,1000,2.62,2,1,256
256,ZenBook UX530UQ-PRO,19,4,15.6,10,16,84,19,512,0,1.63,3,3,257
257,EliteBook 840,7,5,14.0,16,4,118,53,256,0,1.48,3,3,258
258,Inspiron 5570,2,5,15.6,10,4,58,21,0,1000,2.2,3,3,259
259,MacBook Air,5,4,13.3,17,8,104,84,256,0,1.35,6,4,260
260,"MacBook 12""",5,4,12.0,40,8,70,82,256,0,0.92,6,4,261
261,B51-80 (i7-6500U/8GB/1008GB/Radeon,14,5,15.6,10,8,25,26,250,750,2.32,3,5,262
262,Inspiron 3567,2,5,15.6,16,6,41,8,0,1000,2.3,3,3,263
263,Inspiron 3576,2,5,15.6,10,8,58,44,256,0,2.13,3,3,264
264,15-bw009nv (A12-9720P/6GB/1TB/Radeon,7,5,15.6,10,6,5,21,0,1000,2.1,3,3,265
265,Pavilion 15-cb003nv,7,3,15.6,31,8,54,42,0,1000,2.62,3,3,266
266,Inspiron 5579,2,6,15.6,24,8,31,12,0,1000,2.08,3,3,267
267,Inspiron 5567,2,5,15.6,10,16,84,1,256,0,2.3,3,3,268
268,Inspiron 3567,2,5,15.6,10,4,2,5,256,0,2.3,2,1,269
269,SmartBook Edge,13,5,14.0,31,4,44,13,32,0,1.45,3,3,270
270,Spectre 13-V100nv,7,5,13.3,31,8,2,8,256,0,1.11,3,3,271
271,GL62M 7RD,17,3,15.6,10,8,43,42,256,0,2.4,3,3,272
272,15-bs078cl (i7-7500U/8GB/2TB/W10),7,5,15.6,16,8,84,8,0,2000,2.04,3,3,273
273,Yoga 720-15IKB,14,6,15.6,13,16,54,42,512,0,2.0,3,3,274
274,Inspiron 5570,2,5,15.6,10,8,58,21,128,1000,2.33,3,3,275
275,V110-15ISK (i5-6200U/4GB/128GB/W10),14,5,15.6,16,4,3,53,128,0,2.1,3,3,276
276,"LapBook 15.6""",12,5,15.6,10,4,33,87,64,0,1.89,3,3,277
277,Swift 3,4,4,14.0,31,8,58,12,256,0,1.6,3,3,278
278,Portege Z30-C-16L,3,4,13.3,10,8,25,53,256,0,1.2,3,3,279
279,Latitude 5480,2,5,14.0,10,8,88,8,256,0,1.6,3,3,280
280,GL62M 7RDX,17,3,15.6,10,8,54,42,128,1000,2.2,3,3,281
281,Aspire 5,4,5,17.3,31,4,91,85,256,0,3.0,3,3,282
282,Inspiron 5579,2,6,15.6,23,8,58,12,256,0,2.67,3,3,283
283,EliteBook x360,7,6,13.3,23,16,99,8,256,0,1.28,3,3,284
284,Probook 640,7,5,14.0,10,4,2,8,128,0,1.95,3,3,285
285,Inspiron 7570,2,5,15.6,31,8,31,19,256,1000,2.16,3,3,286
286,ZBook 15u,7,5,15.6,10,8,84,109,0,1000,1.9,3,3,287
287,ThinkPad 13,14,5,13.3,10,4,2,8,128,0,1.44,3,3,288
288,R558UA-DM966T (i5-7200U/8GB/128GB/FHD/W10),19,5,15.6,10,8,2,8,0,128,2.3,3,3,289
289,Aspire E5-576G,4,5,15.6,10,8,84,19,256,0,2.2,3,3,290
290,Legion Y520-15IKBN,14,3,15.6,31,8,43,103,128,1000,2.4,1,1,291
291,X541NA-PD1003Y (N4200/4GB/500GB/W10),19,5,15.6,16,4,61,13,0,500,2.0,3,3,292
292,Noteb Pav,7,5,15.6,31,8,84,19,0,1000,1.91,3,3,293
293,Legion Y520-15IKBN,14,3,15.6,31,8,54,103,128,1000,2.5,3,3,294
294,Lenovo IdeaPad,14,5,11.6,16,2,62,13,32,0,1.15,3,3,295
295,250 G6,7,4,15.6,10,8,84,8,256,0,1.84,3,3,296
296,Aspire R7,4,6,13.3,24,8,3,53,256,0,1.6,3,3,297
297,Probook 650,7,5,15.6,10,8,3,53,256,0,2.31,3,3,298
298,Inspiron 5770,2,5,17.3,10,8,31,21,128,1000,2.8,2,1,299
299,Inspiron 3567,2,5,15.6,16,8,2,8,0,1000,2.14,3,3,300
300,Thinkpad T470,14,5,14.0,10,8,2,8,1,0,1.7,3,3,301
301,Portege Z30T-C-133,3,4,13.3,23,16,25,53,512,0,1.36,3,3,302
302,Aspire A515-51G,4,5,15.6,10,4,84,19,0,500,2.2,3,3,303
303,ProBook 450,7,5,15.6,10,8,58,61,256,0,2.1,3,3,304
304,GP62M 7RDX,17,3,15.6,10,8,54,42,128,1000,2.4,3,3,305
305,Rog GL552VW-DM201T,19,3,15.6,31,8,81,46,256,1000,2.591,3,3,306
306,Aspire A715-71G,4,5,15.6,10,8,54,43,256,0,2.5,2,1,307
307,EliteBook 850,7,5,15.6,10,8,59,50,256,0,1.84,3,3,308
308,Envy 17-U275cl,7,5,17.3,31,16,31,32,0,1000,2.9,3,3,309
309,Legion Y520-15IKBN,14,3,15.6,31,8,43,42,0,1000,2.4,3,3,310
310,Ideapad 510S-13IKB,14,5,13.3,31,4,41,8,128,0,1.5,3,3,311
311,Pixelbook (Core,6,4,12.3,34,16,69,47,512,0,1.1,5,1,312
312,Rog GL753VE-GC070T,19,3,17.3,10,16,54,43,256,1000,3.0,3,3,313
313,Portege Z30-C-16P,3,4,13.3,10,16,25,53,512,0,1.2,3,3,314
314,Tecra A50-D-11D,3,5,15.6,31,8,84,8,256,0,2.0,3,3,315
315,Probook 440,7,5,14.0,16,4,41,8,0,500,1.64,3,3,316
